"District","School","Subject","Year","Proficiency"
"Guilford County Schools","C Joyner Greene Education Center","English II","2019%",2.5
"Guilford County Schools","C Joyner Greene Education Center","English II","2022%",9.1
"Guilford County Schools","C Joyner Greene Education Center","English II","2023%",14.3
"Guilford County Schools","Eastern Guilford Middle","Reading Grade 3-8","2018%",41.9
"Guilford County Schools","Eastern Guilford Middle","Reading Grade 3-8","2019%",48.4
"Guilford County Schools","Eastern Guilford Middle","Reading Grade 3-8","2022%",27.8
"Guilford County Schools","Eastern Guilford Middle","Reading Grade 3-8","2023%",29.4
"Guilford County Schools","Eastern Guilford Middle","Math Grade 3-8","2018%",34
"Guilford County Schools","Eastern Guilford Middle","Math Grade 3-8","2019%",38.4
"Guilford County Schools","Eastern Guilford Middle","Math Grade 3-8","2022%",25.6
"Guilford County Schools","Eastern Guilford Middle","Math Grade 3-8","2023%",27.7
"Guilford County Schools","Eastern Guilford Middle","Science Grade 5&8","2018%",53.7
"Guilford County Schools","Eastern Guilford Middle","Science Grade 5&8","2019%",63.3
"Guilford County Schools","Eastern Guilford Middle","Science Grade 5&8","2022%",54.3
"Guilford County Schools","Eastern Guilford Middle","Science Grade 5&8","2023%",53.2
"Guilford County Schools","McLeansville Elementary","Reading Grade 3-8","2018%",46.7
"Guilford County Schools","McLeansville Elementary","Reading Grade 3-8","2019%",46.3
"Guilford County Schools","McLeansville Elementary","Reading Grade 3-8","2022%",35.1
"Guilford County Schools","McLeansville Elementary","Reading Grade 3-8","2023%",30.1
"Guilford County Schools","McLeansville Elementary","Math Grade 3-8","2018%",47.8
"Guilford County Schools","McLeansville Elementary","Math Grade 3-8","2019%",46.9
"Guilford County Schools","McLeansville Elementary","Math Grade 3-8","2022%",39.9
"Guilford County Schools","McLeansville Elementary","Math Grade 3-8","2023%",46.8
"Guilford County Schools","McLeansville Elementary","Science Grade 5&8","2018%",54.4
"Guilford County Schools","McLeansville Elementary","Science Grade 5&8","2019%",66.7
"Guilford County Schools","McLeansville Elementary","Science Grade 5&8","2022%",50
"Guilford County Schools","McLeansville Elementary","Science Grade 5&8","2023%",54.7
"Guilford County Schools","Ronald E. McNair Elementary","Reading Grade 3-8","2018%",39.4
"Guilford County Schools","Ronald E. McNair Elementary","Reading Grade 3-8","2019%",41.8
"Guilford County Schools","Ronald E. McNair Elementary","Reading Grade 3-8","2022%",36.1
"Guilford County Schools","Ronald E. McNair Elementary","Reading Grade 3-8","2023%",39.1
"Guilford County Schools","Ronald E. McNair Elementary","Math Grade 3-8","2018%",47.3
"Guilford County Schools","Ronald E. McNair Elementary","Math Grade 3-8","2019%",41.8
"Guilford County Schools","Ronald E. McNair Elementary","Math Grade 3-8","2022%",31.5
"Guilford County Schools","Ronald E. McNair Elementary","Math Grade 3-8","2023%",35.6
"Guilford County Schools","Ronald E. McNair Elementary","Science Grade 5&8","2018%",58.1
"Guilford County Schools","Ronald E. McNair Elementary","Science Grade 5&8","2019%",64.6
"Guilford County Schools","Ronald E. McNair Elementary","Science Grade 5&8","2022%",48.2
"Guilford County Schools","Ronald E. McNair Elementary","Science Grade 5&8","2023%",51.9
"Guilford County Schools","Mendenhall Middle","Reading Grade 3-8","2018%",55.5
"Guilford County Schools","Mendenhall Middle","Reading Grade 3-8","2019%",57.6
"Guilford County Schools","Mendenhall Middle","Reading Grade 3-8","2022%",47
"Guilford County Schools","Mendenhall Middle","Reading Grade 3-8","2023%",43.8
"Guilford County Schools","Mendenhall Middle","Math Grade 3-8","2018%",46.9
"Guilford County Schools","Mendenhall Middle","Math Grade 3-8","2019%",49.5
"Guilford County Schools","Mendenhall Middle","Math Grade 3-8","2022%",45.8
"Guilford County Schools","Mendenhall Middle","Math Grade 3-8","2023%",39.7
"Guilford County Schools","Mendenhall Middle","Science Grade 5&8","2018%",70.4
"Guilford County Schools","Mendenhall Middle","Science Grade 5&8","2019%",72.5
"Guilford County Schools","Mendenhall Middle","Science Grade 5&8","2022%",85.3
"Guilford County Schools","Mendenhall Middle","Science Grade 5&8","2023%",74.8
"Guilford County Schools","Haynes Inman Education Center","Reading Grade 3-8","2018%",37.5
"Guilford County Schools","Haynes Inman Education Center","Reading Grade 3-8","2019%",12.5
"Guilford County Schools","Haynes Inman Education Center","Reading Grade 3-8","2022%",10
"Guilford County Schools","Haynes Inman Education Center","Reading Grade 3-8","2023%",15.8
"Guilford County Schools","Haynes Inman Education Center","Math Grade 3-8","2018%",12.5
"Guilford County Schools","Haynes Inman Education Center","Math Grade 3-8","2019%",9.4
"Guilford County Schools","Haynes Inman Education Center","Math Grade 3-8","2022%",15
"Guilford County Schools","Haynes Inman Education Center","Math Grade 3-8","2023%",25
"Guilford County Schools","Millis Road Elementary","Reading Grade 3-8","2018%",62.4
"Guilford County Schools","Millis Road Elementary","Reading Grade 3-8","2019%",70.8
"Guilford County Schools","Millis Road Elementary","Reading Grade 3-8","2022%",62.5
"Guilford County Schools","Millis Road Elementary","Reading Grade 3-8","2023%",62.4
"Guilford County Schools","Millis Road Elementary","Math Grade 3-8","2018%",68.6
"Guilford County Schools","Millis Road Elementary","Math Grade 3-8","2019%",77.2
"Guilford County Schools","Millis Road Elementary","Math Grade 3-8","2022%",71.1
"Guilford County Schools","Millis Road Elementary","Math Grade 3-8","2023%",69.4
"Guilford County Schools","Millis Road Elementary","Science Grade 5&8","2018%",67.8
"Guilford County Schools","Millis Road Elementary","Science Grade 5&8","2019%",81.4
"Guilford County Schools","Millis Road Elementary","Science Grade 5&8","2022%",67.7
"Guilford County Schools","Millis Road Elementary","Science Grade 5&8","2023%",76.1
"Guilford County Schools","Montlieu Academy of Technology","Reading Grade 3-8","2018%",34.4
"Guilford County Schools","Montlieu Academy of Technology","Reading Grade 3-8","2019%",34.6
"Guilford County Schools","Montlieu Academy of Technology","Reading Grade 3-8","2022%",36
"Guilford County Schools","Montlieu Academy of Technology","Reading Grade 3-8","2023%",38.4
"Guilford County Schools","Montlieu Academy of Technology","Math Grade 3-8","2018%",40.6
"Guilford County Schools","Montlieu Academy of Technology","Math Grade 3-8","2019%",30.6
"Guilford County Schools","Montlieu Academy of Technology","Math Grade 3-8","2022%",33.1
"Guilford County Schools","Montlieu Academy of Technology","Math Grade 3-8","2023%",41.6
"Guilford County Schools","Montlieu Academy of Technology","Science Grade 5&8","2018%",69.4
"Guilford County Schools","Montlieu Academy of Technology","Science Grade 5&8","2019%",43.2
"Guilford County Schools","Montlieu Academy of Technology","Science Grade 5&8","2022%",57.9
"Guilford County Schools","Montlieu Academy of Technology","Science Grade 5&8","2023%",59
"Guilford County Schools","Morehead Elementary","Reading Grade 3-8","2018%",62.7
"Guilford County Schools","Morehead Elementary","Reading Grade 3-8","2019%",67.6
"Guilford County Schools","Morehead Elementary","Reading Grade 3-8","2022%",49.7
"Guilford County Schools","Morehead Elementary","Reading Grade 3-8","2023%",44
"Guilford County Schools","Morehead Elementary","Math Grade 3-8","2018%",64.2
"Guilford County Schools","Morehead Elementary","Math Grade 3-8","2019%",74.2
"Guilford County Schools","Morehead Elementary","Math Grade 3-8","2022%",56.5
"Guilford County Schools","Morehead Elementary","Math Grade 3-8","2023%",53.7
"Guilford County Schools","Morehead Elementary","Science Grade 5&8","2018%",76.2
"Guilford County Schools","Morehead Elementary","Science Grade 5&8","2019%",85.4
"Guilford County Schools","Morehead Elementary","Science Grade 5&8","2022%",74.5
"Guilford County Schools","Morehead Elementary","Science Grade 5&8","2023%",73.9
"Guilford County Schools","Murphey Traditional Academy","Reading Grade 3-8","2018%",40.1
"Guilford County Schools","Murphey Traditional Academy","Reading Grade 3-8","2019%",32.7
"Guilford County Schools","Murphey Traditional Academy","Reading Grade 3-8","2022%",38
"Guilford County Schools","Murphey Traditional Academy","Reading Grade 3-8","2023%",42.5
"Guilford County Schools","Murphey Traditional Academy","Math Grade 3-8","2018%",38.1
"Guilford County Schools","Murphey Traditional Academy","Math Grade 3-8","2019%",35.9
"Guilford County Schools","Murphey Traditional Academy","Math Grade 3-8","2022%",47.4
"Guilford County Schools","Murphey Traditional Academy","Math Grade 3-8","2023%",48.5
"Guilford County Schools","Murphey Traditional Academy","Science Grade 5&8","2018%",54.9
"Guilford County Schools","Murphey Traditional Academy","Science Grade 5&8","2019%",74.5
"Guilford County Schools","Murphey Traditional Academy","Science Grade 5&8","2022%",51.1
"Guilford County Schools","Murphey Traditional Academy","Science Grade 5&8","2023%",51.1
"Guilford County Schools","Nathanael Greene Elementary","Reading Grade 3-8","2018%",54.8
"Guilford County Schools","Nathanael Greene Elementary","Reading Grade 3-8","2019%",49.6
"Guilford County Schools","Nathanael Greene Elementary","Reading Grade 3-8","2022%",60.2
"Guilford County Schools","Nathanael Greene Elementary","Reading Grade 3-8","2023%",49.6
"Guilford County Schools","Nathanael Greene Elementary","Math Grade 3-8","2018%",71
"Guilford County Schools","Nathanael Greene Elementary","Math Grade 3-8","2019%",52.5
"Guilford County Schools","Nathanael Greene Elementary","Math Grade 3-8","2022%",61.9
"Guilford County Schools","Nathanael Greene Elementary","Math Grade 3-8","2023%",67.9
"Guilford County Schools","Nathanael Greene Elementary","Science Grade 5&8","2018%",90.2
"Guilford County Schools","Nathanael Greene Elementary","Science Grade 5&8","2019%",81.1
"Guilford County Schools","Nathanael Greene Elementary","Science Grade 5&8","2022%",64.9
"Guilford County Schools","Nathanael Greene Elementary","Science Grade 5&8","2023%",79.2
"Guilford County Schools","Northeast Guilford High","Biology","2018%",60.3
"Guilford County Schools","Northeast Guilford High","Biology","2019%",50
"Guilford County Schools","Northeast Guilford High","Biology","2022%",25.3
"Guilford County Schools","Northeast Guilford High","Biology","2023%",27.8
"Guilford County Schools","Northeast Guilford High","English II","2018%",36.9
"Guilford County Schools","Northeast Guilford High","English II","2019%",43.4
"Guilford County Schools","Northeast Guilford High","English II","2022%",33.9
"Guilford County Schools","Northeast Guilford High","English II","2023%",40.8
"Guilford County Schools","Northern Guilford Elementary","Reading Grade 3-8","2018%",84.2
"Guilford County Schools","Northern Guilford Elementary","Reading Grade 3-8","2019%",84.9
"Guilford County Schools","Northern Guilford Elementary","Reading Grade 3-8","2022%",64.5
"Guilford County Schools","Northern Guilford Elementary","Reading Grade 3-8","2023%",70.8
"Guilford County Schools","Northern Guilford Elementary","Math Grade 3-8","2018%",87.3
"Guilford County Schools","Northern Guilford Elementary","Math Grade 3-8","2019%",84.1
"Guilford County Schools","Northern Guilford Elementary","Math Grade 3-8","2022%",76.2
"Guilford County Schools","Northern Guilford Elementary","Math Grade 3-8","2023%",81.3
"Guilford County Schools","Northern Guilford Elementary","Science Grade 5&8","2018%",85.4
"Guilford County Schools","Northern Guilford Elementary","Science Grade 5&8","2019%",87.5
"Guilford County Schools","Northern Guilford Elementary","Science Grade 5&8","2022%",85.1
"Guilford County Schools","Northern Guilford Elementary","Science Grade 5&8","2023%",86
"Guilford County Schools","Northeast Guilford Middle","Reading Grade 3-8","2018%",37.1
"Guilford County Schools","Northeast Guilford Middle","Reading Grade 3-8","2019%",47.9
"Guilford County Schools","Northeast Guilford Middle","Reading Grade 3-8","2022%",28.2
"Guilford County Schools","Northeast Guilford Middle","Reading Grade 3-8","2023%",32.2
"Guilford County Schools","Northeast Guilford Middle","Math Grade 3-8","2018%",24.6
"Guilford County Schools","Northeast Guilford Middle","Math Grade 3-8","2019%",33.6
"Guilford County Schools","Northeast Guilford Middle","Math Grade 3-8","2022%",21.5
"Guilford County Schools","Northeast Guilford Middle","Math Grade 3-8","2023%",20.2
"Guilford County Schools","Northeast Guilford Middle","Science Grade 5&8","2018%",52.3
"Guilford County Schools","Northeast Guilford Middle","Science Grade 5&8","2019%",67.4
"Guilford County Schools","Northeast Guilford Middle","Science Grade 5&8","2022%",56.4
"Guilford County Schools","Northeast Guilford Middle","Science Grade 5&8","2023%",58.6
"Guilford County Schools","Northern Guilford Middle","Reading Grade 3-8","2018%",69.4
"Guilford County Schools","Northern Guilford Middle","Reading Grade 3-8","2019%",75.5
"Guilford County Schools","Northern Guilford Middle","Reading Grade 3-8","2022%",64.6
"Guilford County Schools","Northern Guilford Middle","Reading Grade 3-8","2023%",65.1
"Guilford County Schools","Northern Guilford Middle","Math Grade 3-8","2018%",66.3
"Guilford County Schools","Northern Guilford Middle","Math Grade 3-8","2019%",75.3
"Guilford County Schools","Northern Guilford Middle","Math Grade 3-8","2022%",69.5
"Guilford County Schools","Northern Guilford Middle","Math Grade 3-8","2023%",71.4
"Guilford County Schools","Northern Guilford Middle","Science Grade 5&8","2018%",81.1
"Guilford County Schools","Northern Guilford Middle","Science Grade 5&8","2019%",88.7
"Guilford County Schools","Northern Guilford Middle","Science Grade 5&8","2022%",85.9
"Guilford County Schools","Northern Guilford Middle","Science Grade 5&8","2023%",89.6
"Guilford County Schools","Northern Guilford High","Biology","2018%",78.7
"Guilford County Schools","Northern Guilford High","Biology","2019%",70.4
"Guilford County Schools","Northern Guilford High","Biology","2022%",58.1
"Guilford County Schools","Northern Guilford High","Biology","2023%",73.2
"Guilford County Schools","Northern Guilford High","English II","2018%",77
"Guilford County Schools","Northern Guilford High","English II","2019%",80.1
"Guilford County Schools","Northern Guilford High","English II","2022%",74.4
"Guilford County Schools","Northern Guilford High","English II","2023%",72.6
"Guilford County Schools","Northwest Guilford High","Biology","2018%",78.3
"Guilford County Schools","Northwest Guilford High","Biology","2019%",80.1
"Guilford County Schools","Northwest Guilford High","Biology","2022%",88.9
"Guilford County Schools","Northwest Guilford High","Biology","2023%",84.2
"Guilford County Schools","Northwest Guilford High","English II","2018%",77.9
"Guilford County Schools","Northwest Guilford High","English II","2019%",79.4
"Guilford County Schools","Northwest Guilford High","English II","2022%",79
"Guilford County Schools","Northwest Guilford High","English II","2023%",75.4
"Guilford County Schools","EP Pearce Elementary","Reading Grade 3-8","2018%",76.9
"Guilford County Schools","EP Pearce Elementary","Reading Grade 3-8","2019%",78.6
"Guilford County Schools","EP Pearce Elementary","Reading Grade 3-8","2022%",77.4
"Guilford County Schools","EP Pearce Elementary","Reading Grade 3-8","2023%",72.7
"Guilford County Schools","EP Pearce Elementary","Math Grade 3-8","2018%",82
"Guilford County Schools","EP Pearce Elementary","Math Grade 3-8","2019%",83.2
"Guilford County Schools","EP Pearce Elementary","Math Grade 3-8","2022%",84.7
"Guilford County Schools","EP Pearce Elementary","Math Grade 3-8","2023%",84.2
"Guilford County Schools","EP Pearce Elementary","Science Grade 5&8","2018%",90.9
"Guilford County Schools","EP Pearce Elementary","Science Grade 5&8","2019%",91.3
"Guilford County Schools","EP Pearce Elementary","Science Grade 5&8","2022%",92.4
"Guilford County Schools","EP Pearce Elementary","Science Grade 5&8","2023%",91.7
"Guilford County Schools","Northwest Guilford Middle","Reading Grade 3-8","2018%",81.7
"Guilford County Schools","Northwest Guilford Middle","Reading Grade 3-8","2019%",81.3
"Guilford County Schools","Northwest Guilford Middle","Reading Grade 3-8","2022%",75.1
"Guilford County Schools","Northwest Guilford Middle","Reading Grade 3-8","2023%",75.5
"Guilford County Schools","Northwest Guilford Middle","Math Grade 3-8","2018%",76.2
"Guilford County Schools","Northwest Guilford Middle","Math Grade 3-8","2019%",78.6
"Guilford County Schools","Northwest Guilford Middle","Math Grade 3-8","2022%",75
"Guilford County Schools","Northwest Guilford Middle","Math Grade 3-8","2023%",75.4
"Guilford County Schools","Northwest Guilford Middle","Science Grade 5&8","2018%",84.8
"Guilford County Schools","Northwest Guilford Middle","Science Grade 5&8","2019%",93.6
"Guilford County Schools","Northwest Guilford Middle","Science Grade 5&8","2022%",93.3
"Guilford County Schools","Northwest Guilford Middle","Science Grade 5&8","2023%",91.6
"Guilford County Schools","Northwood Elementary","Reading Grade 3-8","2018%",35
"Guilford County Schools","Northwood Elementary","Reading Grade 3-8","2019%",36.6
"Guilford County Schools","Northwood Elementary","Reading Grade 3-8","2022%",28
"Guilford County Schools","Northwood Elementary","Reading Grade 3-8","2023%",30.7
"Guilford County Schools","Northwood Elementary","Math Grade 3-8","2018%",41.6
"Guilford County Schools","Northwood Elementary","Math Grade 3-8","2019%",36.2
"Guilford County Schools","Northwood Elementary","Math Grade 3-8","2022%",34.4
"Guilford County Schools","Northwood Elementary","Math Grade 3-8","2023%",36.1
"Guilford County Schools","Northwood Elementary","Science Grade 5&8","2018%",41
"Guilford County Schools","Northwood Elementary","Science Grade 5&8","2019%",63.4
"Guilford County Schools","Northwood Elementary","Science Grade 5&8","2022%",62.7
"Guilford County Schools","Northwood Elementary","Science Grade 5&8","2023%",55.7
"Guilford County Schools","Oak Hill Elementary","Reading Grade 3-8","2018%",39.7
"Guilford County Schools","Oak Hill Elementary","Reading Grade 3-8","2019%",40
"Guilford County Schools","Oak Hill Elementary","Reading Grade 3-8","2022%",27.8
"Guilford County Schools","Oak Hill Elementary","Reading Grade 3-8","2023%",29.1
"Guilford County Schools","Oak Hill Elementary","Math Grade 3-8","2018%",59.1
"Guilford County Schools","Oak Hill Elementary","Math Grade 3-8","2019%",48.5
"Guilford County Schools","Oak Hill Elementary","Math Grade 3-8","2022%",33.2
"Guilford County Schools","Oak Hill Elementary","Math Grade 3-8","2023%",33.5
"Guilford County Schools","Oak Hill Elementary","Science Grade 5&8","2018%",78.4
"Guilford County Schools","Oak Hill Elementary","Science Grade 5&8","2019%",73.6
"Guilford County Schools","Oak Hill Elementary","Science Grade 5&8","2022%",37.9
"Guilford County Schools","Oak Hill Elementary","Science Grade 5&8","2023%",47.8
"Guilford County Schools","Oak Ridge Elementary","Reading Grade 3-8","2018%",79.3
"Guilford County Schools","Oak Ridge Elementary","Reading Grade 3-8","2019%",84.4
"Guilford County Schools","Oak Ridge Elementary","Reading Grade 3-8","2022%",83.1
"Guilford County Schools","Oak Ridge Elementary","Reading Grade 3-8","2023%",79.1
"Guilford County Schools","Oak Ridge Elementary","Math Grade 3-8","2018%",86.6
"Guilford County Schools","Oak Ridge Elementary","Math Grade 3-8","2019%",89.4
"Guilford County Schools","Oak Ridge Elementary","Math Grade 3-8","2022%",90.1
"Guilford County Schools","Oak Ridge Elementary","Math Grade 3-8","2023%",90.7
"Guilford County Schools","Oak Ridge Elementary","Science Grade 5&8","2018%",91.4
"Guilford County Schools","Oak Ridge Elementary","Science Grade 5&8","2019%",92.8
"Guilford County Schools","Oak Ridge Elementary","Science Grade 5&8","2022%",97.5
"Guilford County Schools","Oak Ridge Elementary","Science Grade 5&8","2023%",91.3
"Guilford County Schools","Oak View Elementary","Reading Grade 3-8","2018%",38.2
"Guilford County Schools","Oak View Elementary","Reading Grade 3-8","2019%",37.8
"Guilford County Schools","Oak View Elementary","Reading Grade 3-8","2022%",31.9
"Guilford County Schools","Oak View Elementary","Reading Grade 3-8","2023%",29.6
"Guilford County Schools","Oak View Elementary","Math Grade 3-8","2018%",34.2
"Guilford County Schools","Oak View Elementary","Math Grade 3-8","2019%",36.9
"Guilford County Schools","Oak View Elementary","Math Grade 3-8","2022%",33.3
"Guilford County Schools","Oak View Elementary","Math Grade 3-8","2023%",32.9
"Guilford County Schools","Oak View Elementary","Science Grade 5&8","2018%",48.3
"Guilford County Schools","Oak View Elementary","Science Grade 5&8","2019%",55.3
"Guilford County Schools","Oak View Elementary","Science Grade 5&8","2022%",32.8
"Guilford County Schools","Oak View Elementary","Science Grade 5&8","2023%",45.2
"Guilford County Schools","Page High","Biology","2018%",54.1
"Guilford County Schools","Page High","Biology","2019%",53.1
"Guilford County Schools","Page High","Biology","2022%",49.4
"Guilford County Schools","Page High","Biology","2023%",50.3
"Guilford County Schools","Page High","English II","2018%",62.6
"Guilford County Schools","Page High","English II","2019%",50
"Guilford County Schools","Page High","English II","2022%",59.8
"Guilford County Schools","Page High","English II","2023%",56.5
"Guilford County Schools","Parkview Village Elementary","Reading Grade 3-8","2018%",30.7
"Guilford County Schools","Parkview Village Elementary","Reading Grade 3-8","2019%",28.9
"Guilford County Schools","Parkview Village Elementary","Reading Grade 3-8","2022%",26.7
"Guilford County Schools","Parkview Village Elementary","Reading Grade 3-8","2023%",23.1
"Guilford County Schools","Parkview Village Elementary","Math Grade 3-8","2018%",47.7
"Guilford County Schools","Parkview Village Elementary","Math Grade 3-8","2019%",37.1
"Guilford County Schools","Parkview Village Elementary","Math Grade 3-8","2022%",39.2
"Guilford County Schools","Parkview Village Elementary","Math Grade 3-8","2023%",41.5
"Guilford County Schools","Parkview Village Elementary","Science Grade 5&8","2018%",87.7
"Guilford County Schools","Parkview Village Elementary","Science Grade 5&8","2019%",34.7
"Guilford County Schools","Parkview Village Elementary","Science Grade 5&8","2022%",38.2
"Guilford County Schools","Parkview Village Elementary","Science Grade 5&8","2023%",35.7
"Guilford County Schools","Clara J Peck Elementary","Reading Grade 3-8","2018%",36.5
"Guilford County Schools","Clara J Peck Elementary","Reading Grade 3-8","2019%",38.3
"Guilford County Schools","Clara J Peck Elementary","Reading Grade 3-8","2022%",39.3
"Guilford County Schools","Clara J Peck Elementary","Reading Grade 3-8","2023%",41.6
"Guilford County Schools","Clara J Peck Elementary","Math Grade 3-8","2018%",31.8
"Guilford County Schools","Clara J Peck Elementary","Math Grade 3-8","2019%",33.1
"Guilford County Schools","Clara J Peck Elementary","Math Grade 3-8","2022%",38.6
"Guilford County Schools","Clara J Peck Elementary","Math Grade 3-8","2023%",48.9
"Guilford County Schools","Clara J Peck Elementary","Science Grade 5&8","2018%",66
"Guilford County Schools","Clara J Peck Elementary","Science Grade 5&8","2019%",65.9
"Guilford County Schools","Clara J Peck Elementary","Science Grade 5&8","2022%",48.1
"Guilford County Schools","Clara J Peck Elementary","Science Grade 5&8","2023%",68.2
"Guilford County Schools","Pilot Elementary","Reading Grade 3-8","2018%",49.6
"Guilford County Schools","Pilot Elementary","Reading Grade 3-8","2019%",51.1
"Guilford County Schools","Pilot Elementary","Reading Grade 3-8","2022%",45.3
"Guilford County Schools","Pilot Elementary","Reading Grade 3-8","2023%",47
"Guilford County Schools","Pilot Elementary","Math Grade 3-8","2018%",54
"Guilford County Schools","Pilot Elementary","Math Grade 3-8","2019%",51.4
"Guilford County Schools","Pilot Elementary","Math Grade 3-8","2022%",51.4
"Guilford County Schools","Pilot Elementary","Math Grade 3-8","2023%",54
"Guilford County Schools","Pilot Elementary","Science Grade 5&8","2018%",52.7
"Guilford County Schools","Pilot Elementary","Science Grade 5&8","2019%",57.5
"Guilford County Schools","Pilot Elementary","Science Grade 5&8","2022%",68.2
"Guilford County Schools","Pilot Elementary","Science Grade 5&8","2023%",62.5
"Guilford County Schools","Pleasant Garden Elementary","Reading Grade 3-8","2018%",54.9
"Guilford County Schools","Pleasant Garden Elementary","Reading Grade 3-8","2019%",57.4
"Guilford County Schools","Pleasant Garden Elementary","Reading Grade 3-8","2022%",51.5
"Guilford County Schools","Pleasant Garden Elementary","Reading Grade 3-8","2023%",53.5
"Guilford County Schools","Pleasant Garden Elementary","Math Grade 3-8","2018%",58.4
"Guilford County Schools","Pleasant Garden Elementary","Math Grade 3-8","2019%",66.3
"Guilford County Schools","Pleasant Garden Elementary","Math Grade 3-8","2022%",61.2
"Guilford County Schools","Pleasant Garden Elementary","Math Grade 3-8","2023%",64.2
"Guilford County Schools","Pleasant Garden Elementary","Science Grade 5&8","2018%",81.3
"Guilford County Schools","Pleasant Garden Elementary","Science Grade 5&8","2019%",82.4
"Guilford County Schools","Pleasant Garden Elementary","Science Grade 5&8","2022%",71.4
"Guilford County Schools","Pleasant Garden Elementary","Science Grade 5&8","2023%",77.5
"Guilford County Schools","Lucy Ragsdale High","Biology","2018%",60.1
"Guilford County Schools","Lucy Ragsdale High","Biology","2019%",61.3
"Guilford County Schools","Lucy Ragsdale High","Biology","2022%",41.5
"Guilford County Schools","Lucy Ragsdale High","Biology","2023%",39.3
"Guilford County Schools","Lucy Ragsdale High","English II","2018%",60
"Guilford County Schools","Lucy Ragsdale High","English II","2019%",59.8
"Guilford County Schools","Lucy Ragsdale High","English II","2022%",55.1
"Guilford County Schools","Lucy Ragsdale High","English II","2023%",50.8
"Guilford County Schools","Reedy Fork Elementary","Reading Grade 3-8","2018%",40.9
"Guilford County Schools","Reedy Fork Elementary","Reading Grade 3-8","2019%",46.2
"Guilford County Schools","Reedy Fork Elementary","Reading Grade 3-8","2022%",38.9
"Guilford County Schools","Reedy Fork Elementary","Reading Grade 3-8","2023%",37.3
"Guilford County Schools","Reedy Fork Elementary","Math Grade 3-8","2018%",43.3
"Guilford County Schools","Reedy Fork Elementary","Math Grade 3-8","2019%",45.3
"Guilford County Schools","Reedy Fork Elementary","Math Grade 3-8","2022%",42.1
"Guilford County Schools","Reedy Fork Elementary","Math Grade 3-8","2023%",34.6
"Guilford County Schools","Reedy Fork Elementary","Science Grade 5&8","2018%",54.1
"Guilford County Schools","Reedy Fork Elementary","Science Grade 5&8","2019%",65
"Guilford County Schools","Reedy Fork Elementary","Science Grade 5&8","2022%",67.6
"Guilford County Schools","Reedy Fork Elementary","Science Grade 5&8","2023%",51.7
"Guilford County Schools","Rankin Elementary","Reading Grade 3-8","2018%",29.9
"Guilford County Schools","Rankin Elementary","Reading Grade 3-8","2019%",33.9
"Guilford County Schools","Rankin Elementary","Reading Grade 3-8","2022%",32
"Guilford County Schools","Rankin Elementary","Reading Grade 3-8","2023%",28.1
"Guilford County Schools","Rankin Elementary","Math Grade 3-8","2018%",31.7
"Guilford County Schools","Rankin Elementary","Math Grade 3-8","2019%",35
"Guilford County Schools","Rankin Elementary","Math Grade 3-8","2022%",33.9
"Guilford County Schools","Rankin Elementary","Math Grade 3-8","2023%",34.9
"Guilford County Schools","Rankin Elementary","Science Grade 5&8","2018%",43
"Guilford County Schools","Rankin Elementary","Science Grade 5&8","2019%",50.4
"Guilford County Schools","Rankin Elementary","Science Grade 5&8","2022%",35.8
"Guilford County Schools","Rankin Elementary","Science Grade 5&8","2023%",41.7
"Guilford County Schools","Sedalia Elementary","Reading Grade 3-8","2018%",58.2
"Guilford County Schools","Sedalia Elementary","Reading Grade 3-8","2019%",54
"Guilford County Schools","Sedalia Elementary","Reading Grade 3-8","2022%",44.3
"Guilford County Schools","Sedalia Elementary","Reading Grade 3-8","2023%",41.2
"Guilford County Schools","Sedalia Elementary","Math Grade 3-8","2018%",60.7
"Guilford County Schools","Sedalia Elementary","Math Grade 3-8","2019%",51.1
"Guilford County Schools","Sedalia Elementary","Math Grade 3-8","2022%",50.5
"Guilford County Schools","Sedalia Elementary","Math Grade 3-8","2023%",47.8
"Guilford County Schools","Sedalia Elementary","Science Grade 5&8","2018%",75
"Guilford County Schools","Sedalia Elementary","Science Grade 5&8","2019%",75.9
"Guilford County Schools","Sedalia Elementary","Science Grade 5&8","2022%",39.3
"Guilford County Schools","Sedalia Elementary","Science Grade 5&8","2023%",59
"Guilford County Schools","Sedgefield Elementary","Reading Grade 3-8","2018%",36.1
"Guilford County Schools","Sedgefield Elementary","Reading Grade 3-8","2019%",34
"Guilford County Schools","Sedgefield Elementary","Reading Grade 3-8","2022%",26.8
"Guilford County Schools","Sedgefield Elementary","Reading Grade 3-8","2023%",30.2
"Guilford County Schools","Sedgefield Elementary","Math Grade 3-8","2018%",38.8
"Guilford County Schools","Sedgefield Elementary","Math Grade 3-8","2019%",41.3
"Guilford County Schools","Sedgefield Elementary","Math Grade 3-8","2022%",32.5
"Guilford County Schools","Sedgefield Elementary","Math Grade 3-8","2023%",36.2
"Guilford County Schools","Sedgefield Elementary","Science Grade 5&8","2018%",39
"Guilford County Schools","Sedgefield Elementary","Science Grade 5&8","2019%",28.6
"Guilford County Schools","Sedgefield Elementary","Science Grade 5&8","2022%",46.7
"Guilford County Schools","Sedgefield Elementary","Science Grade 5&8","2023%",32.1
"Guilford County Schools","Shadybrook Elementary","Reading Grade 3-8","2018%",47.6
"Guilford County Schools","Shadybrook Elementary","Reading Grade 3-8","2019%",55.7
